sample_id,time_ms,accel_z,magnitude,queue_size,latency_us,processed_count,explanation
23,157863213,-8.87457,8.87457,44,682352,23,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
24,157863228,-9.25086,9.25086,46,714545,24,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
25,157863244,-9.1914,9.1914,48,744397,25,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
26,157863260,-9.29725,9.29725,50,775896,26,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
27,157863276,-9.32594,9.32594,52,806233,27,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
28,157863292,-9.06713,9.06713,54,836827,28,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
29,157863308,-9.29404,9.29404,56,867485,29,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
30,157863323,-9.27902,9.27902,58,898655,30,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
31,157863338,-9.41582,9.41582,59,915467,31,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
32,157863353,-9.48055,9.48055,61,946802,32,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
33,157863368,-9.35786,9.35786,63,977664,33,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
34,157863384,-9.14873,9.14873,65,1006887,34,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
35,157863399,-9.7517,9.7517,67,1038430,35,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
36,157863414,-9.65789,9.65789,69,1068382,36,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
37,157863429,-9.3776,9.3776,71,1100390,37,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
38,157863446,-9.419,9.419,73,1130661,38,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
39,157863461,-10.0177,10.0177,75,1162704,39,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
40,157863476,-9.54833,9.54833,77,1192815,40,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
41,157863492,-9.69313,9.69313,79,1222611,41,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
42,157863507,-10.178,10.178,81,1253476,42,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
43,157863523,-9.77092,9.77092,83,1284721,43,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
44,157863538,-10.0539,10.0539,85,1316585,44,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
45,157863554,-10.2605,10.2605,86,1332563,45,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
46,157863570,-10.1271,10.1271,88,1363805,46,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
47,157863585,-10.2907,10.2907,90,1394258,47,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
48,157863601,-9.99371,9.99371,92,1424538,48,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
49,157863616,-10.5353,10.5353,94,1455784,49,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
50,157863632,-10.4149,10.4149,96,1486275,50,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
51,157863647,-10.2797,10.2797,98,1516965,51,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
52,157863664,-10.3296,10.3296,100,1547662,52,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
53,157863680,-10.559,10.559,102,1577343,53,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
54,157863695,-10.2226,10.2226,104,1609378,54,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
55,157863710,-10.4723,10.4723,106,1640470,55,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
56,157863726,-10.4676,10.4676,108,1672382,56,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
57,157863741,-10.751,10.751,110,1703139,57,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
58,157863756,-10.4578,10.4578,112,1734997,58,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
59,157863771,-10.5012,10.5012,114,1767612,59,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
60,157863787,-10.3118,10.3118,116,1795747,60,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
61,157863803,-10.3626,10.3626,118,1827157,61,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
62,157863818,-10.6612,10.6612,120,1858540,62,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
63,157863834,-10.5698,10.5698,122,1889553,63,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
64,157863849,-10.6074,10.6074,124,1920793,64,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
65,157863865,-10.2775,10.2775,126,1951590,65,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
66,157863880,-10.516,10.516,128,1983185,66,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
67,157863895,-10.5861,10.5861,127,2014832,67,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
68,157863910,-10.6413,10.6413,126,2046215,68,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
69,157863926,-10.2842,10.2842,125,2062833,69,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
70,157863942,-10.5707,10.5707,124,2092143,70,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
71,157863958,-10.5552,10.5552,123,2122557,71,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
72,157863973,-10.1695,10.1695,122,2139157,72,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
73,157863988,-10.3851,10.3851,121,2170105,73,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
74,157864004,-10.0728,10.0728,120,2201897,74,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
75,157864020,-10.334,10.334,119,2232570,75,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
76,157864036,-10.1443,10.1443,118,2262121,76,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
77,157864052,-10.0721,10.0721,117,2278805,77,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
78,157864067,-9.77534,9.77534,116,2295196,78,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
79,157864082,-9.71719,9.71719,115,2328173,79,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
80,157864098,-9.6298,9.6298,114,2359095,80,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
81,157864114,-9.79783,9.79783,113,2389633,81,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
82,157864129,-9.67142,9.67142,112,2421233,82,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
83,157864144,-9.42217,9.42217,111,2437792,83,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
84,157864160,-9.48523,9.48523,110,2453807,84,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
85,157864175,-9.76195,9.76195,109,2485313,85,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
86,157864190,-9.21303,9.21303,108,2515197,86,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
87,157864206,-9.20853,9.20853,107,2545952,87,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
88,157864222,-9.38948,9.38948,106,2576800,88,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
89,157864238,-8.985,8.985,105,2607760,89,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
90,157864253,-9.07677,9.07677,104,2637434,90,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
91,157864269,-8.91067,8.91067,103,2669056,91,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
92,157864284,-9.03822,9.03822,102,2699332,92,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
93,157864300,-9.2102,9.2102,101,2729582,93,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
94,157864315,-8.90307,8.90307,100,2762222,94,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
95,157864330,-9.08162,9.08162,99,2793753,95,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
96,157864346,-8.94711,8.94711,98,2824547,96,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
97,157864362,-9.28937,9.28937,97,2854479,97,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
98,157864376,-9.1955,9.1955,96,2884832,98,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
99,157864391,-9.20343,9.20343,95,2901982,99,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
100,157864407,-9.05361,9.05361,94,2933476,100,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
101,157864422,-8.93774,8.93774,93,2964353,101,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
102,157864438,-9.10517,9.10517,92,2995694,102,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
103,157864453,-8.84165,8.84165,91,3027479,103,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
104,157864468,-8.98614,8.98614,90,3044013,104,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
105,157864483,-9.17032,9.17032,89,3075411,105,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
106,157864498,-8.88857,8.88857,88,3106496,106,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
107,157864514,-8.98978,8.98978,87,3137729,107,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
108,157864529,-9.10529,9.10529,86,3153437,108,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
109,157864545,-9.3603,9.3603,85,3183646,109,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
110,157864561,-9.384,9.384,84,3215003,110,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
111,157864576,-9.36673,9.36673,83,3246062,111,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
112,157864592,-9.22742,9.22742,82,3279437,112,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
113,157864608,-9.17372,9.17372,81,3307539,113,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
114,157864623,-9.77849,9.77849,80,3325999,114,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
115,157864638,-9.46627,9.46627,79,3356006,115,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
116,157864654,-9.3324,9.3324,78,3385882,116,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
117,157864669,-9.69625,9.69625,77,3417773,117,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
118,157864684,-9.82828,9.82828,76,3448787,118,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
119,157864699,-10.0572,10.0572,75,3479415,119,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
120,157864715,-10.0865,10.0865,74,3510645,120,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
121,157864730,-9.70904,9.70904,73,3541718,121,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
122,157864745,-9.82777,9.82777,72,3572706,122,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
123,157864761,-10.1196,10.1196,71,3604354,123,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
124,157864777,-10.3693,10.3693,70,3633946,124,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
125,157864792,-10.2011,10.2011,69,3665597,125,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
126,157864807,-10.1645,10.1645,68,3696730,126,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
127,157864823,-10.2918,10.2918,67,3727434,127,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
128,157864838,-10.3634,10.3634,66,3758483,128,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
129,157864854,-10.1544,10.1544,65,3774444,129,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
130,157864870,-10.6299,10.6299,64,3805291,130,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
131,157864887,-10.1834,10.1834,63,3835576,131,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
132,157864903,-10.6818,10.6818,62,3864584,132,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
133,157864917,-10.3918,10.3918,61,3896911,133,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
134,157864934,-10.7373,10.7373,60,3928357,134,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
135,157864949,-10.3042,10.3042,59,3959377,135,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
136,157864964,-10.4538,10.4538,58,3978788,136,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
137,157864979,-10.5994,10.5994,57,4007525,137,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
138,157864995,-10.8307,10.8307,56,4037182,138,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
139,157865010,-10.3853,10.3853,55,4069695,139,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
140,157865025,-10.7973,10.7973,54,4100107,140,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
141,157865040,-10.7021,10.7021,53,4130318,141,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
142,157865056,-10.3379,10.3379,52,4160395,142,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
143,157865072,-10.7077,10.7077,51,4190387,143,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
144,157865087,-10.4735,10.4735,50,4221946,144,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
145,157865102,-10.7282,10.7282,49,4253080,145,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
146,157865118,-10.7143,10.7143,48,4284788,146,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
147,157865133,-10.3642,10.3642,47,4315784,147,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
148,157865149,-10.453,10.453,46,4347862,148,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
149,157865164,-10.1887,10.1887,45,4380354,149,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
150,157865180,-10.2671,10.2671,44,4411161,150,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
151,157865196,-10.4913,10.4913,43,4441480,151,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
152,157865211,-10.2762,10.2762,42,4473075,152,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
153,157865227,-9.89368,9.89368,41,4502706,153,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
154,157865242,-9.78577,9.78577,40,4533644,154,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
155,157865257,-10.2816,10.2816,39,4565343,155,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
156,157865272,-9.90583,9.90583,38,4596959,156,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
157,157865288,-9.87802,9.87802,37,4627029,157,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
158,157865304,-10.0596,10.0596,36,4657788,158,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
159,157865320,-9.74779,9.74779,35,4688907,159,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
160,157865335,-9.46738,9.46738,34,4718562,160,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
161,157865350,-9.75885,9.75885,33,4751107,161,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
162,157865367,-9.3041,9.3041,32,4779970,162,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
163,157865382,-9.68394,9.68394,31,4811484,163,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
164,157865398,-9.38821,9.38821,30,4841024,164,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
165,157865413,-9.65633,9.65633,29,4872309,165,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
166,157865429,-9.40411,9.40411,28,4902785,166,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
167,157865444,-9.57164,9.57164,27,4934171,167,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
168,157865460,-9.05499,9.05499,26,4964745,168,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
169,157865475,-9.17318,9.17318,25,4995551,169,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
170,157865491,-9.02457,9.02457,24,5026754,170,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
171,157865506,-9.07029,9.07029,23,5058299,171,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
172,157865521,-9.29692,9.29692,22,5089262,172,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
173,157865537,-9.09968,9.09968,21,5119611,173,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
174,157865552,-8.83521,8.83521,20,5150487,174,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
175,157865568,-9.11301,9.11301,19,5181289,175,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
176,157865583,-9.25918,9.25918,18,5213267,176,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
177,157865601,-9.01859,9.01859,17,5240319,177,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
178,157865614,-9.04429,9.04429,16,5273055,178,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
179,157865630,-8.89699,8.89699,15,5303295,179,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
180,157865645,-8.83053,8.83053,14,5334519,180,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
181,157865661,-8.82428,8.82428,13,5366046,181,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
182,157865677,-9.28119,9.28119,12,5395564,182,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
183,157865692,-9.22794,9.22794,11,5426695,183,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
184,157865707,-8.97513,8.97513,10,5459428,184,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
185,157865723,-9.35413,9.35413,9,5475485,185,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
186,157865739,-9.04844,9.04844,8,5506876,186,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
187,157865754,-9.4076,9.4076,7,5538223,187,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
188,157865770,-9.30701,9.30701,6,5568558,188,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
189,157865786,-9.38218,9.38218,5,5599290,189,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
190,157865801,-9.47847,9.47847,4,5615362,190,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
191,157865816,-9.3161,9.3161,3,5647167,191,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
192,157865832,-9.21042,9.21042,2,5677905,192,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
193,157865847,-9.6394,9.6394,1,5709080,193,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
194,157865863,-9.34315,9.34315,0,5739385,194,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
